,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,CEDEVITA OLIMPIJA LJUBLJANA,FRUTTI EXTRA BURSASPOR,1,1,200:00,73,16,31,10,35,11,16,8,26,34,15,7,9,1,3,23,21,71,200:00,81,15,29,13,31,12,19,8,33,41,20,4,14,3,1,21,22,96
0,JOVENTUT BADALONA,GERMANI BRESCIA,2,1,200:00,80,24,46,9,17,5,11,10,28,38,23,9,12,1,4,19,18,98,200:00,63,15,28,6,28,15,18,7,24,31,7,5,12,4,1,18,19,60
0,PROMETEY SLOBOZHANSKE,7BET-LIETKABELIS PANEVEZYS,3,1,200:00,82,24,42,5,25,19,21,13,25,38,22,14,12,4,1,25,19,101,200:00,71,20,37,6,24,13,19,10,26,36,16,4,18,1,4,19,24,70
0,RATIOPHARM ULM,UMANA REYER VENICE,4,1,200:00,81,21,37,6,19,21,33,11,30,41,17,4,16,3,3,19,25,92,200:00,80,18,36,11,34,11,13,10,23,33,22,12,11,4,3,25,19,88
0,MINCIDELICE JL BOURG EN BRESSE,U-BT CLUJ-NAPOCA,5,1,200:00,88,17,34,13,28,15,19,6,27,33,21,10,14,2,1,21,21,103,200:00,85,21,36,10,30,13,21,10,25,35,22,5,13,1,2,21,21,90
0,TURK TELEKOM ANKARA,PARIS BASKETBALL,6,1,200:00,75,20,35,9,30,8,15,13,21,34,17,8,15,0,4,16,15,71,200:00,90,26,41,11,25,5,10,11,25,36,17,6,13,4,0,15,16,107
0,HAPOEL TEL AVIV,LONDON LIONS,7,1,200:00,76,16,39,11,37,11,14,15,31,46,17,8,7,2,3,16,15,86,200:00,59,21,42,4,26,5,8,13,31,44,17,4,13,3,2,16,16,66
0,DOLOMITI ENERGIA TRENTO,PROMITHEAS PATRAS,8,1,200:00,76,22,50,9,25,5,7,14,27,41,19,7,10,0,1,18,15,83,200:00,89,25,38,9,24,12,16,5,30,35,16,7,11,1,0,15,18,108
0,GRAN CANARIA,SLASK WROCLAW,9,1,200:00,92,19,41,14,33,12,14,16,22,38,17,9,13,5,3,30,21,93,200:00,81,21,36,4,15,27,37,7,27,34,19,7,16,3,5,22,29,94
0,BUDUCNOST VOLI PODGORICA,VEOLIA TOWERS HAMBURG,10,1,200:00,66,17,39,7,24,11,18,17,26,43,15,8,21,4,3,19,19,66,200:00,73,20,41,10,20,3,9,8,24,32,21,12,15,3,4,19,19,85
0,U-BT CLUJ-NAPOCA,CEDEVITA OLIMPIJA LJUBLJANA,11,2,200:00,94,26,41,9,29,15,26,17,29,46,19,4,14,5,0,26,25,107,200:00,76,16,41,8,23,20,27,11,22,33,13,5,14,0,5,26,26,61
0,UMANA REYER VENICE,MINCIDELICE JL BOURG EN BRESSE,12,2,200:00,73,19,34,9,24,8,10,8,21,29,14,5,18,5,2,17,23,80,200:00,79,25,45,6,14,11,13,7,24,31,15,12,13,2,5,23,17,85
0,7BET-LIETKABELIS PANEVEZYS,RATIOPHARM ULM,13,2,200:00,80,23,32,6,23,16,25,7,25,32,18,7,13,2,2,25,24,88,200:00,76,22,37,6,26,14,15,11,20,31,19,6,14,2,2,24,25,83
0,GERMANI BRESCIA,PROMETEY SLOBOZHANSKE,14,2,200:00,104,26,40,11,21,19,24,10,32,42,27,10,15,4,2,22,22,141,200:00,70,15,30,9,34,13,19,9,18,27,11,8,15,2,4,23,21,51
0,FRUTTI EXTRA BURSASPOR,JOVENTUT BADALONA,15,2,200:00,81,19,36,10,29,13,19,12,23,35,8,8,11,2,1,18,22,84,200:00,72,21,38,7,14,9,10,3,25,28,16,5,17,1,2,23,18,73
0,VEOLIA TOWERS HAMBURG,TURK TELEKOM ANKARA,16,2,200:00,83,18,32,13,23,8,9,4,22,26,17,7,20,4,2,24,16,82,200:00,88,21,34,9,25,19,26,11,19,30,18,10,14,2,4,16,24,102
0,SLASK WROCLAW,BUDUCNOST VOLI PODGORICA,17,2,200:00,58,22,54,3,17,5,15,14,22,36,11,6,13,2,5,16,20,43,200:00,98,26,45,13,31,7,14,19,37,56,24,10,13,5,2,20,16,130
0,PROMITHEAS PATRAS,GRAN CANARIA,18,2,200:00,93,15,33,15,23,18,21,5,21,26,17,6,10,0,2,12,25,114,200:00,82,19,29,12,33,8,12,11,22,33,22,6,13,2,0,25,12,84
0,LONDON LIONS,DOLOMITI ENERGIA TRENTO,19,2,200:00,80,10,25,13,26,21,24,5,25,30,17,12,19,1,1,17,23,95,200:00,75,13,35,13,26,10,13,9,20,29,15,8,20,1,1,24,17,62
0,PARIS BASKETBALL,HAPOEL TEL AVIV,20,2,200:00,86,20,40,11,30,13,17,8,26,34,16,11,10,5,3,13,19,102,200:00,100,28,50,10,25,14,18,14,32,46,24,3,14,3,5,19,13,110
0,CEDEVITA OLIMPIJA LJUBLJANA,JOVENTUT BADALONA,21,3,200:00,78,14,30,11,36,17,23,11,16,27,14,4,10,0,3,23,25,65,200:00,100,23,36,12,22,18,19,8,32,40,22,4,16,3,0,25,23,127
0,PROMETEY SLOBOZHANSKE,FRUTTI EXTRA BURSASPOR,22,3,200:00,90,27,46,7,24,15,20,16,18,34,16,12,11,2,3,23,22,98,200:00,84,22,41,10,23,10,22,18,22,40,20,6,19,3,2,22,22,88
0,RATIOPHARM ULM,GERMANI BRESCIA,23,3,225:00,90,17,36,14,35,14,18,11,24,35,16,7,17,3,4,23,18,81,225:00,98,28,48,8,31,18,22,21,32,53,22,11,17,4,3,18,23,126
0,MINCIDELICE JL BOURG EN BRESSE,7BET-LIETKABELIS PANEVEZYS,24,3,200:00,86,21,34,10,33,14,20,17,25,42,16,4,14,1,0,20,21,94,200:00,73,14,31,9,26,18,25,10,23,33,12,9,11,0,1,21,20,73
0,U-BT CLUJ-NAPOCA,UMANA REYER VENICE,25,3,200:00,80,19,32,8,33,18,23,13,23,36,19,9,16,3,3,27,25,83,200:00,85,16,30,9,22,26,34,7,26,33,18,7,16,3,3,25,27,94
0,TURK TELEKOM ANKARA,HAPOEL TEL AVIV,26,3,200:00,89,23,36,13,30,4,5,3,27,30,21,10,13,2,3,19,15,101,200:00,77,23,42,6,18,13,20,8,28,36,22,9,18,3,2,16,19,92
0,DOLOMITI ENERGIA TRENTO,PARIS BASKETBALL,27,3,200:00,86,27,49,8,34,8,11,15,21,36,27,10,11,4,5,25,16,87,200:00,91,25,40,5,20,26,36,14,33,47,19,6,21,5,4,16,25,112
0,GRAN CANARIA,LONDON LIONS,28,3,200:00,87,18,27,12,30,15,18,9,20,29,22,8,17,0,1,21,21,98,200:00,69,19,38,6,18,13,19,13,17,30,13,8,20,1,0,21,21,64
0,BUDUCNOST VOLI PODGORICA,PROMITHEAS PATRAS,29,3,225:00,95,34,57,4,16,15,21,11,32,43,14,8,14,6,0,19,21,113,225:00,89,22,44,9,31,18,20,10,28,38,14,8,15,0,6,21,19,80
0,VEOLIA TOWERS HAMBURG,SLASK WROCLAW,30,3,200:00,87,25,52,8,28,13,17,17,24,41,17,12,14,4,6,26,19,83,200:00,83,21,48,4,14,29,33,13,31,44,16,5,21,6,4,19,26,95
0,UMANA REYER VENICE,CEDEVITA OLIMPIJA LJUBLJANA,31,4,200:00,76,16,32,9,23,17,25,3,24,27,20,9,11,1,0,20,22,86,200:00,68,12,27,8,28,20,22,11,32,43,11,5,19,0,1,23,20,67
0,7BET-LIETKABELIS PANEVEZYS,U-BT CLUJ-NAPOCA,32,4,200:00,89,23,46,12,25,7,13,17,22,39,16,9,11,1,2,22,20,97,200:00,84,22,35,9,31,13,24,16,20,36,18,9,10,2,1,20,22,94
0,GERMANI BRESCIA,MINCIDELICE JL BOURG EN BRESSE,33,4,200:00,69,19,48,6,20,13,16,14,20,34,14,5,11,0,7,21,20,57,200:00,71,15,40,8,17,17,20,14,29,43,13,2,19,7,0,20,21,81
